LG,SONY,AMAZON
50.880001068115234,54.38999938964844,48.93999862670898
48.56999969482422,51.52999877929688,45.619998931884766
41.81999969482422,42.33000183105469,44.209999084472656
42.56999969482422,33.0099983215332,28.290000915527344
51.33000183105469,48.2599983215332,42.09000015258789
50.970001220703125,50.630001068115234,43.15999984741211
34.630001068115234,42.77999877929688,40.38999938964844
41.65999984741211,46.47999954223633,47.52000045776367
36.84000015258789,40.5099983215332,39.27000045776367
47.43999862670898,43.95000076293945,39.27999877929688
45.130001068115234,48.09000015258789,42.970001220703125
44.54999923706055,46.900001525878906,44.13999938964844
33.02000045776367,28.76000022888184,24.8799991607666
38.70000076293945,39.880001068115234,37.97999954223633
35.7599983215332,35.88999938964844,38.58000183105469
35.709999084472656,42.95000076293945,42.68000030517578
43.61000061035156,45.52000045776367,46.02999877929688
47.77000045776367,51.150001525878906,52.02999877929688
50.310001373291016,48.72999954223633,44.849998474121094
47.95000076293945,49.380001068115234,36.970001220703125
45.0,50.13999938964844,44.099998474121094
